model,y_true,y_pred,y_proba
LogisticRegression,0,0,0.0452396371633611
LogisticRegression,0,1,0.6844052869448903
LogisticRegression,0,0,0.05869330450932278
LogisticRegression,0,0,0.40175457993905317
LogisticRegression,0,0,0.021518609347544515
LogisticRegression,0,1,0.6037073463956422
LogisticRegression,0,0,0.44890723881816186
LogisticRegression,0,0,0.13008719822164774
LogisticRegression,0,0,0.0028793865770519547
LogisticRegression,1,0,0.39495165321131914
LogisticRegression,0,0,0.26672438175194874
LogisticRegression,0,0,0.06187679893705204
LogisticRegression,0,0,0.12998634483186194
LogisticRegression,1,1,0.6863042201195291
LogisticRegression,0,0,0.12855127532069394
LogisticRegression,0,0,0.05784790503683586
LogisticRegression,0,0,0.03238922922457566
LogisticRegression,0,1,0.6363703655518606
LogisticRegression,0,0,0.17998390046356064
LogisticRegression,0,0,0.08491808116218309
LogisticRegression,1,1,0.7252192327773932
LogisticRegression,0,0,0.2668715557738699
LogisticRegression,0,0,0.017062489459519645
LogisticRegression,0,0,0.03675472510416305
LogisticRegression,0,0,0.1819683843736332
LogisticRegression,0,0,0.2111431669047328
LogisticRegression,1,1,0.5734653333242478
LogisticRegression,1,1,0.6929134795608138
LogisticRegression,0,0,0.018881721535297366
LogisticRegression,1,1,0.7767029170714177
LogisticRegression,0,0,0.44439433163824055
LogisticRegression,0,0,0.4347578433870852
LogisticRegression,0,0,0.005490514155387769
LogisticRegression,0,0,0.004950018549808711
LogisticRegression,1,1,0.77935187376504
LogisticRegression,0,0,0.25279672835337236
LogisticRegression,1,0,0.376682482955818
LogisticRegression,0,0,0.0020394899827118032
LogisticRegression,1,1,0.7594539714444902
LogisticRegression,1,0,0.18431389703280582
LogisticRegression,0,0,0.0027892153559454674
LogisticRegression,0,1,0.787003527299566
LogisticRegression,0,0,0.348426367887435
LogisticRegression,0,0,0.24199754102645718
LogisticRegression,0,0,0.041430615730578324
LogisticRegression,1,1,0.5161085130189856
LogisticRegression,0,1,0.7099348966719573
LogisticRegression,0,0,0.3687430181403155
LogisticRegression,0,0,0.0054411941669021005
LogisticRegression,1,0,0.4112266052506641
LogisticRegression,0,0,0.004484621392757406
LogisticRegression,1,1,0.7250784681183621
LogisticRegression,0,0,0.17606830920101146
LogisticRegression,0,0,0.2633480653620487
LogisticRegression,0,0,0.21313861387314786
LogisticRegression,1,1,0.6175271800620032
LogisticRegression,0,0,0.060245310026009205
LogisticRegression,0,0,0.05469277814497664
LogisticRegression,0,0,0.071820318844916
LogisticRegression,0,0,0.003302188733520594
LogisticRegression,0,0,0.006582323070520526
LogisticRegression,1,0,0.0300957313505398
LogisticRegression,0,0,0.18346139962882801
LogisticRegression,0,0,0.1810860220219739
LogisticRegression,1,0,0.25825033949375703
LogisticRegression,1,0,0.36626867886201436
LogisticRegression,1,0,0.20672029229446107
LogisticRegression,1,0,0.2854936850919565
LogisticRegression,1,0,0.20967457032469064
LogisticRegression,1,1,0.637197974222049
LogisticRegression,0,0,0.002536032387427694
LogisticRegression,0,0,0.012835567033993524
LogisticRegression,1,1,0.6215139474820709
LogisticRegression,0,0,0.20416464757876757
LogisticRegression,0,0,0.02684189032690898
LogisticRegression,0,0,0.04901754117058906
LogisticRegression,0,0,0.06178952713002649
LogisticRegression,1,1,0.5338633638232125
LogisticRegression,0,0,0.2435228983237928
LogisticRegression,0,0,0.0029849610972898233
LogisticRegression,0,0,0.047692963542906516
LogisticRegression,0,0,0.01260295063558115
LogisticRegression,1,0,0.23304860919741183
LogisticRegression,1,1,0.7914023402169211
LogisticRegression,0,0,0.07002782776298687
LogisticRegression,0,0,0.38272773078125183
LogisticRegression,0,1,0.6626770795354281
LogisticRegression,1,1,0.5180885623451659
LogisticRegression,1,0,0.49867725107959393
LogisticRegression,0,0,0.09430903262844202
LogisticRegression,1,1,0.62116166032916
LogisticRegression,0,0,0.31650263386766236
LogisticRegression,0,0,0.013298102718538894
LogisticRegression,1,1,0.6040213510318008
LogisticRegression,1,0,0.2937408397812153
LogisticRegression,0,0,0.016418071159740335
LogisticRegression,0,0,0.43004147331280373
LogisticRegression,0,0,0.004316039526970281
LogisticRegression,1,1,0.6793768415039496
LogisticRegression,0,0,0.17475703794599473
LogisticRegression,1,1,0.7664527494286696
LogisticRegression,1,1,0.6393867970107537
LogisticRegression,0,1,0.5255979443345974
LogisticRegression,1,0,0.4414449620984863
LogisticRegression,1,0,0.28530357266379464
LogisticRegression,0,0,0.0017755760793378124
LogisticRegression,0,0,0.10951287325767896
LogisticRegression,0,0,0.04826739364652333
LogisticRegression,0,0,0.045420629810654686
LogisticRegression,0,0,0.046150220389649714
LogisticRegression,0,0,0.012894403778768094
LogisticRegression,0,1,0.636850544565348
LogisticRegression,0,0,0.17783517618569547
LogisticRegression,0,1,0.5433112234954953
LogisticRegression,1,1,0.6535625118578637
LogisticRegression,0,0,0.04138946310597056
LogisticRegression,1,1,0.5055432893483186
LogisticRegression,0,0,0.47783107969601035
LogisticRegression,0,0,0.03756322527292174
LogisticRegression,0,0,0.004540642067186249
LogisticRegression,0,0,0.04167279937103588
LogisticRegression,1,1,0.6019787892587712
LogisticRegression,0,0,0.015194043283268925
LogisticRegression,0,0,0.04095928213875636
LogisticRegression,1,1,0.6988324157964788
LogisticRegression,0,0,0.016145895947918768
LogisticRegression,1,0,0.39354072649253247
LogisticRegression,0,0,0.2052176437254527
LogisticRegression,1,1,0.662430392079839
LogisticRegression,0,0,0.12545873028084642
LogisticRegression,1,0,0.18852678545619905
LogisticRegression,1,0,0.3955069132286763
LogisticRegression,0,0,0.11337000190220667
LogisticRegression,0,0,0.20655924870677786
LogisticRegression,0,0,0.03672801405162202
LogisticRegression,0,0,0.18569261966785794
LogisticRegression,0,0,0.04136914532083816
LogisticRegression,0,0,0.09250694516327335
LogisticRegression,0,0,0.008049231600302204
LogisticRegression,1,0,0.2877560987623605
LogisticRegression,0,0,0.04873993241385805
LogisticRegression,0,0,0.08703718630186645
LogisticRegression,0,1,0.5510196201785906
LogisticRegression,0,0,0.014935016381072795
LogisticRegression,0,0,0.030841819694073253
LogisticRegression,0,0,0.060590001460683746
LogisticRegression,0,0,0.04010192292470271
LogisticRegression,1,0,0.31258367759737343
LogisticRegression,0,0,0.4585308177369092
LogisticRegression,0,0,0.4071096960252404
LogisticRegression,0,0,0.014803534394070823
LogisticRegression,0,1,0.5155036697782314
LogisticRegression,0,0,0.13689495843929347
LogisticRegression,0,0,0.31685859872308586
LogisticRegression,1,1,0.769355607975283
LogisticRegression,0,0,0.3816161386463304
